doc_id|term_str|n|tfidf|sentiment|sentiment_weighted_count
69|grow|4|20.17177669788678|1.0|4.0
69|growth|1|5.8285445438887775|1.0|1.0
69|solution|1|6.870364719583405|1.0|1.0
70|pretty|1|5.531562806131646|1.0|1.0
71|abandoned|1|9.735435139497296|-1.0|-1.0
71|affluent|1|11.5427900615549|1.0|1.0
71|center|1|6.684809066427328|1.0|1.0
71|income|1|4.5427900615549|0.0|0.0
71|land|1|5.722611099139712|1.0|1.0
71|money|1|3.209634711244284|1.0|1.0
71|population|1|6.434265604776731|1.0|1.0
71|pretty|2|11.063125612263292|1.0|2.0
71|shit|2|16.038456210995776|-1.0|-2.0
71|stray|1|12.5427900615549|-1.0|-1.0
71|tax|1|4.684809066427328|-1.0|-1.0
72|cholera|3|32.87348268250123|-1.0|-3.0
72|feces|2|18.745730120225176|-1.0|-2.0
72|lick|1|10.5427900615549|-1.0|-1.0
73|completely|1|5.423848988831392|1.0|1.0
73|labor|1|7.15047263877614|1.0|1.0
74|accurate|1|6.185238056936816|1.0|1.0
74|battle|1|8.5427900615549|-1.0|-1.0
74|civil|3|22.2405211338298|1.0|3.0
74|contrary|1|10.5427900615549|-1.0|-1.0
74|enemy|1|8.019228105497888|-1.0|-1.0
74|problem|1|4.654046812656641|-1.0|-1.0
74|receiving|1|7.413507044609934|1.0|1.0
74|war|4|23.65373376590116|-1.0|-4.0
74|warfare|1|9.735435139497296|-1.0|-1.0
75|clean|1|6.220861966667538|1.0|1.0
75|food|1|4.60615212255233|1.0|1.0
75|government|1|4.239009313377797|-1.0|-1.0
75|hire|1|7.787902559391432|1.0|1.0
75|job|1|5.042944174471695|1.0|1.0
75|pay|2|7.338691898079047|1.0|2.0
75|war|1|5.9134334414752905|-1.0|-1.0
75|worth|1|4.9354597478052895|1.0|1.0
76|disgusting|2|21.0855801231098|-1.0|-2.0
76|full|1|5.33333669592595|1.0|1.0
76|grow|1|5.042944174471695|1.0|1.0
76|hit|1|6.034995421356204|-1.0|-1.0
76|leave|1|5.8013230751537535|-1.0|-1.0
76|shit|1|8.019228105497888|-1.0|-1.0
78|action|1|6.167750630207975|1.0|1.0
78|emergency|1|6.003631250446869|-1.0|-1.0
78|flying|1|7.735435139497296|1.0|1.0
78|marked|1|9.083358442917604|1.0|1.0
78|missing|1|7.257387842692652|-1.0|-1.0
78|obstruction|1|9.5427900615549|-1.0|-1.0
78|pilot|1|9.220861966667538|1.0|1.0
78|united|1|4.768003001953726|1.0|1.0
80|criticism|1|8.45532722030456|-1.0|-1.0
81|athletic|1|10.5427900615549|1.0|1.0
81|building|1|5.220861966667538|1.0|1.0
81|excuse|1|9.5427900615549|-1.0|-1.0
81|job|2|10.08588834894339|1.0|2.0
81|learn|1|5.50936706001745|1.0|1.0
81|teacher|1|8.372865060112588|1.0|1.0
81|worry|1|6.660147012193059|-1.0|-1.0
82|words|1|5.099846565706172|-1.0|-1.0
83|cool|1|6.372865060112588|1.0|1.0
83|silly|1|8.842350343413807|-1.0|-1.0
83|worry|1|6.660147012193059|-1.0|-1.0
84|ability|1|5.577005776892813|1.0|1.0
84|presence|1|7.116525306852802|1.0|1.0
84|richness|1|10.957827560833744|1.0|1.0
85|cold|1|5.577005776892813|-1.0|-1.0
85|doubtful|1|11.5427900615549|-1.0|-1.0
85|freely|1|8.019228105497888|1.0|1.0
85|guarantee|1|7.185238056936816|1.0|1.0
85|money|3|9.628904133732853|1.0|3.0
85|reluctant|1|10.220861966667538|-1.0|-1.0
85|technology|1|5.684809066427328|1.0|1.0
85|war|3|17.74030032442587|-1.0|-3.0
86|distortion|1|10.957827560833744|-1.0|-1.0
86|drawback|1|12.5427900615549|-1.0|-1.0
86|interference|1|7.842350343413808|-1.0|-1.0
86|radio|1|6.684809066427328|1.0|1.0
87|case|1|4.571246507604128|-1.0|-1.0
87|legal|1|5.304385322229821|1.0|1.0
87|lost|1|6.393042942050218|-1.0|-1.0
87|top|1|5.343117716718536|1.0|1.0
87|wait|1|6.76143034803024|-1.0|-1.0
88|expect|2|12.30094527755228|1.0|2.0
88|fancy|1|8.372865060112588|1.0|1.0
88|joke|1|7.498395942196447|-1.0|-1.0
88|kind|1|4.225377447790031|1.0|1.0
88|motive|1|10.220861966667538|1.0|1.0
